Year,Winner's avg speed,Total distance (km),Number of stages,Finishers,Entrants,Winner,Winner's Nationality,Winner's Team,Start Date,End Date,Starting city,Starting city Latitude,Starting city Longitude,Starting country,Finishing city,Finishing city Latitude,Finishing city Longitude,,,
1903,25.68,2428,6,21,60,Maurice Garin, France,La Française,1903-07-01,1903-07-21,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1904,25.27,2420,6,27,88,Henri Cornet, France,Cycles JC,1904-07-02,1904-07-24,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1905,27.11,2994,11,24,60,Louis Trousselier, France,Cycles Peugeot,1905-07-09,1905-07-30,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1906,24.46,4545,13,14,82,René Pottier, France,Cycles Peugeot,1906-07-04,1906-07-29,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1907,28.47,4488,14,33,93,Lucien Petit-Breton, France,Cycles Peugeot,1907-07-08,1907-08-04,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1908,28.74,4488,14,36,112,Lucien Petit-Breton , France,Cycles Peugeot,1908-07-13,1908-08-09,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1909,28.66,4497,14,55,150,François Faber, Luxembourg,Alycon,1909-07-05,1909-08-01,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1910,29.1,4737,15,41,110,Octave Lapize, France,Alycon,1910-07-03,1910-07-31,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1911,27.32,5344,15,28,84,Gustave Garrigou, France,Alycon,1911-07-02,1911-07-30,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1912,27.76,5289,15,41,131,Odile Defraye, Belgium,Alycon,1912-06-30,1912-07-28,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1913,26.72,5287,15,25,140,Philippe Thys, Belgium,Cycles Peugeot,1913-06-29,1913-07-27,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1914,26.84,5380,15,54,145,Philippe Thys , Belgium,Cycles Peugeot,1914-06-28,1914-07-26,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1919,24.06,5560,15,10,69,Firmin Lambot, Belgium,La Sportive,1919-06-29,1919-07-27,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1920,24.07,5503,15,22,113,Philippe Thys , Belgium,La Sportive,1920-06-27,1920-07-27,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1921,24.72,5485,15,38,123,Léon Scieur, Belgium,La Sportive,1921-06-26,1921-07-24,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1922,24.2,5375,15,38,121,Firmin Lambot , Belgium,Cycles Peugeot,1922-06-25,1922-07-23,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1923,24.23,5386,15,48,139,Henri Pélissier, France,Automoto,1923-06-24,1923-07-22,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1924,24.25,5425,15,60,157,Ottavio Bottecchia, Italy,Automoto,1924-06-22,1924-07-20,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1925,24.82,5440,18,49,130,Ottavio Bottecchia , Italy,Automoto,1925-06-21,1925-07-19,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1926,24.28,5745,17,41,126,Lucien Buysse, Belgium,Automoto,1926-06-20,1926-07-18,Evian,46.4015,6.5909,France,Paris,48.8566,2.3522,,,
1927,27.22,5340,24,39,142,Nicolas Frantz, Luxembourg,Alcyon,1927-06-19,1927-07-17,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1928,28.4,5476,22,41,162,Nicolas Frantz , Luxembourg,Alcyon,1928-06-17,1928-07-15,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1929,28.32,5257,22,60,155,Maurice De Waele, Belgium,Alcyon,1929-06-30,1929-07-28,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1930,28,4822,21,59,100,André Leducq, France,France,1930-07-02,1930-07-27,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1931,28.74,5091,24,35,81,Antonin Magne, France,France,1931-06-30,1931-07-26,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1932,29.05,4479,21,57,80,André Leducq , France,France,1932-07-06,1932-07-31,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1933,29.82,4395,23,40,80,Georges Speicher, France,France,1933-06-27,1933-07-23,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1934,30.36,4470,23,39,60,Antonin Magne , France,France,1934-07-03,1934-07-29,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1935,30.65,4338,21,46,93,Romain Maes, Belgium,Belgium,1935-07-04,1935-07-28,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1936,31.11,4418,21,43,90,Sylvère Maes, Belgium,Belgium,1936-07-07,1936-08-02,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
1937,31.77,4415,20,46,98,Roger Lapébie, France,France,1937-06-30,1937-07-25,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,,,
